Team,Round,Km,From,To
Nanjing Monkey Kings,22,270,Nanjing,Shanghai
Nanjing Monkey Kings,23,270,Shanghai,Nanjing
Nanjing Monkey Kings,24,237,Nanjing,Hangzhou
Nanjing Monkey Kings,25,121,Hangzhou,Suzhou
Nanjing Monkey Kings,26,189,Suzhou,Nanjing
Nanjing Monkey Kings,27,0,Nanjing,Nanjing
Nanjing Monkey Kings,28,0,Nanjing,Nanjing
Nanjing Monkey Kings,29,1159,Nanjing,Shenyang
Nanjing Monkey Kings,30,627,Shenyang,Beijing
Nanjing Monkey Kings,31,2411,Beijing,Urumqi
Nanjing Monkey Kings,32,3007,Urumqi,Nanjing
Nanjing Monkey Kings,33,0,Nanjing,Nanjing
Nanjing Monkey Kings,34,0,Nanjing,Nanjing
Nanjing Monkey Kings,35,898,Nanjing,Beijing
Nanjing Monkey Kings,36,898,Beijing,Nanjing
Nanjing Monkey Kings,37,0,Nanjing,Nanjing
Nanjing Monkey Kings,38,1426,Nanjing,Changchun
Nanjing Monkey Kings,39,272,Changchun,Shenyang
Nanjing Monkey Kings,40,1159,Shenyang,Nanjing
Nanjing Monkey Kings,41,3007,Nanjing,Urumqi
Nanjing Monkey Kings,42,2189,Urumqi,Taiyuan
Ningbo Rockets,1,141,Ningbo,Hangzhou
Ningbo Rockets,2,1097,Hangzhou,Taiyuan
Ningbo Rockets,3,1216,Taiyuan,Ningbo
Ningbo Rockets,4,1338,Ningbo,Shenyang
Ningbo Rockets,5,272,Shenyang,Changchun
Ningbo Rockets,6,1587,Changchun,Ningbo
Ningbo Rockets,7,0,Ningbo,Ningbo
Ningbo Rockets,8,0,Ningbo,Ningbo
Ningbo Rockets,9,184,Ningbo,Suzhou
Ningbo Rockets,10,85,Suzhou,Shanghai
Ningbo Rockets,11,152,Shanghai,Ningbo
Ningbo Rockets,12,0,Ningbo,Ningbo
Ningbo Rockets,13,0,Ningbo,Ningbo
Ningbo Rockets,14,0,Ningbo,Ningbo
Ningbo Rockets,15,864,Ningbo,Jinan
Ningbo Rockets,16,365,Jinan,Beijing
Ningbo Rockets,17,103,Beijing,Tianjin
Ningbo Rockets,18,1121,Tianjin,Ningbo
Ningbo Rockets,19,0,Ningbo,Ningbo
Ningbo Rockets,20,864,Ningbo,Jinan
Ningbo Rockets,21,864,Jinan,Ningbo
Ningbo Rockets,22,0,Ningbo,Ningbo
Ningbo Rockets,23,0,Ningbo,Ningbo
Ningbo Rockets,24,1113,Ningbo,Guangzhou
Ningbo Rockets,25,568,Guangzhou,Jinjiang
Ningbo Rockets,26,631,Jinjiang,Hangzhou
Ningbo Rockets,27,1542,Hangzhou,Chengdu
Ningbo Rockets,28,1679,Chengdu,Ningbo
Ningbo Rockets,29,0,Ningbo,Ningbo
Ningbo Rockets,30,0,Ningbo,Ningbo
Ningbo Rockets,31,1210,Ningbo,Beijing
Ningbo Rockets,32,2411,Beijing,Urumqi
Ningbo Rockets,33,3007,Urumqi,Nanjing
Ningbo Rockets,34,358,Nanjing,Ningbo
Ningbo Rockets,35,1121,Ningbo,Tianjin
Ningbo Rockets,36,1121,Tianjin,Ningbo
Ningbo Rockets,37,0,Ningbo,Ningbo
Ningbo Rockets,38,698,Ningbo,Qingdao
Ningbo Rockets,39,1585,Qingdao,Dongguan
Ningbo Rockets,40,62,Dongguan,Shenzhen
Ningbo Rockets,41,1104,Shenzhen,Ningbo
Ningbo Rockets,42,0,Ningbo,Ningbo
Qingdao Eagles,1,1623,Qingdao,Shenzhen
Qingdao Eagles,2,1623,Shenzhen,Qingdao
Qingdao Eagles,3,0,Qingdao,Qingdao
Qingdao Eagles,4,1585,Qingdao,Dongguan
Qingdao Eagles,5,3325,Dongguan,Urumqi
Qingdao Eagles,6,2902,Urumqi,Qingdao
Qingdao Eagles,7,0,Qingdao,Qingdao
Qingdao Eagles,8,531,Qingdao,Suzhou
Qingdao Eagles,9,121,Suzhou,Hangzhou
Qingdao Eagles,10,1542,Hangzhou,Chengdu
Qingdao Eagles,11,1632,Chengdu,Qingdao
Qingdao Eagles,12,0,Qingdao,Qingdao
Qingdao Eagles,13,959,Qingdao,Changchun
Qingdao Eagles,14,272,Changchun,Shenyang
Qingdao Eagles,15,690,Shenyang,Qingdao
Qingdao Eagles,16,0,Qingdao,Qingdao
Qingdao Eagles,17,644,Qingdao,Hangzhou
Qingdao Eagles,18,141,Hangzhou,Ningbo
Qingdao Eagles,19,698,Ningbo,Qingdao
Qingdao Eagles,20,0,Qingdao,Qingdao
Qingdao Eagles,21,551,Qingdao,Beijing
Qingdao Eagles,22,0,Beijing,Beijing
Qingdao Eagles,23,551,Beijing,Qingdao
Qingdao Eagles,24,0,Qingdao,Qingdao
Qingdao Eagles,25,310,Qingdao,Jinan
Qingdao Eagles,26,730,Jinan,Shanghai
Qingdao Eagles,27,547,Shanghai,Qingdao
Qingdao Eagles,28,469,Qingdao,Nanjing
Qingdao Eagles,29,810,Nanjing,Jinjiang
Qingdao Eagles,30,568,Jinjiang,Guangzhou
Qingdao Eagles,31,1593,Guangzhou,Qingdao
Qingdao Eagles,32,0,Qingdao,Qingdao
Qingdao Eagles,33,0,Qingdao,Qingdao
Qingdao Eagles,34,1267,Qingdao,Jinjiang
Qingdao Eagles,35,1562,Jinjiang,Taiyuan
Qingdao Eagles,36,724,Taiyuan,Qingdao
Qingdao Eagles,37,0,Qingdao,Qingdao
Qingdao Eagles,38,0,Qingdao,Qingdao
Qingdao Eagles,39,551,Qingdao,Beijing
Qingdao Eagles,40,103,Beijing,Tianjin
Qingdao Eagles,41,451,Tianjin,Qingdao
Qingdao Eagles,42,0,Qingdao,Qingdao
Shandong Hi-Speed Kirin,1,365,Jinan,Beijing
Shandong Hi-Speed Kirin,3,365,Beijing,Jinan
Shandong Hi-Speed Kirin,4,0,Jinan,Jinan
Shandong Hi-Speed Kirin,5,0,Jinan,Jinan
Shandong Hi-Speed Kirin,6,1547,Jinan,Dongguan
Shandong Hi-Speed Kirin,7,1585,Dongguan,Qingdao
Shandong Hi-Speed Kirin,8,310,Qingdao,Jinan
Shandong Hi-Speed Kirin,9,0,Jinan,Jinan
Shandong Hi-Speed Kirin,10,536,Jinan,Nanjing
Shandong Hi-Speed Kirin,11,810,Nanjing,Jinjiang
Shandong Hi-Speed Kirin,12,1693,Jinjiang,Beijing
Shandong Hi-Speed Kirin,13,365,Beijing,Jinan
