Team,Round,Km,From,To
Zhejiang Golden Bulls,22,1040,Hangzhou,Tianjin
Zhejiang Guangsha Lions,22,1123,Beijing,Hangzhou
Nanjing Monkey Kings,22,0,Hangzhou,Hangzhou
Xinjiang Flying Tigers,22,0,Urumqi,Urumqi
Guangdong Southern Tigers,22,2509,Tianjin,Urumqi
Guangzhou Loong Lions,22,3284,Urumqi,Guangzhou
Ningbo Rockets,22,1231,Chengdu,Guangzhou
Jilin Northeast Tigers,22,0,Changchun,Changchun
Shanxi Loongs,22,1260,Taiyuan,Changchun
Fujian Sturgeons,22,2204,Changchun,Jinjiang
Qingdao Eagles,22,752,Suzhou,Jinjiang
Guangdong Southern Tigers,23,3325,Urumqi,Dongguan
Liaoning Flying Leopards,23,62,Shenzhen,Dongguan
Jilin Northeast Tigers,23,0,Changchun,Changchun
Shanxi Loongs,23,0,Changchun,Changchun
Xinjiang Flying Tigers,23,0,Urumqi,Urumqi
Beijing Royal Fighters,23,3268,Shanghai,Urumqi
Zhejiang Guangsha Lions,23,0,Hangzhou,Hangzhou
Ningbo Rockets,23,1048,Guangzhou,Hangzhou
Nanjing Monkey Kings,23,237,Hangzhou,Nanjing
Fujian Sturgeons,23,810,Jinjiang,Nanjing
Shandong Hi-Speed Kirin,23,0,Jinan,Jinan
Zhejiang Golden Bulls,23,301,Tianjin,Jinan
Shanghai Sharks,23,0,Shanghai,Shanghai
Qingdao Eagles,23,772,Jinjiang,Shanghai
Shenzhen Leopards,23,0,Shenzhen,Shenzhen
Guangzhou Loong Lions,23,104,Guangzhou,Shenzhen
Beijing Ducks,23,0,Beijing,Beijing
Tianjin Pioneers,23,103,Tianjin,Beijing
Sichuan Blue Whales,23,1525,Beijing,Chengdu
Jiangsu Dragons,23,1373,Jinan,Chengdu
Jilin Northeast Tigers,24,0,Changchun,Changchun
Beijing Royal Fighters,24,2998,Urumqi,Changchun
Shenzhen Leopards,24,0,Shenzhen,Shenzhen
Sichuan Blue Whales,24,1335,Chengdu,Shenzhen
Shanghai Sharks,24,0,Shanghai,Shanghai
Jiangsu Dragons,24,1661,Chengdu,Shanghai
Zhejiang Guangsha Lions,24,0,Hangzhou,Hangzhou
Liaoning Flying Leopards,24,1027,Dongguan,Hangzhou
Guangdong Southern Tigers,24,0,Dongguan,Dongguan
Shandong Hi-Speed Kirin,24,1547,Jinan,Dongguan
Qingdao Eagles,24,547,Shanghai,Qingdao
Shanxi Loongs,24,959,Changchun,Qingdao
Xinjiang Flying Tigers,24,0,Urumqi,Urumqi
Beijing Ducks,24,2411,Beijing,Urumqi
Guangzhou Loong Lions,24,104,Shenzhen,Guangzhou
Fujian Sturgeons,24,1132,Nanjing,Guangzhou
Tianjin Pioneers,24,103,Beijing,Tianjin
Nanjing Monkey Kings,24,820,Nanjing,Tianjin
Zhejiang Golden Bulls,24,767,Jinan,Hangzhou
Ningbo Rockets,24,0,Hangzhou,Hangzhou
