Round,Home Team,Away Team
34,Zhejiang Golden Bulls,Beijing Ducks
34,Fujian Sturgeons,Shanghai Sharks
34,Zhejiang Guangsha Lions,Beijing Royal Fighters
35,Shenzhen Leopards,Tianjin Pioneers
35,Ningbo Rockets,Xinjiang Flying Tigers
35,Beijing Royal Fighters,Zhejiang Golden Bulls
35,Fujian Sturgeons,Qingdao Eagles
35,Guangzhou Loong Lions,Shanxi Loongs
35,Jilin Northeast Tigers,Beijing Ducks
35,Liaoning Flying Leopards,Nanjing Monkey Kings
35,Shanghai Sharks,Guangdong Southern Tigers
35,Sichuan Blue Whales,Shandong Hi-Speed Kirin
35,Zhejiang Guangsha Lions,Jiangsu Dragons
36,Shenzhen Leopards,Jiangsu Dragons
36,Ningbo Rockets,Fujian Sturgeons
36,Jilin Northeast Tigers,Liaoning Flying Leopards
36,Beijing Ducks,Zhejiang Golden Bulls
36,Xinjiang Flying Tigers,Shandong Hi-Speed Kirin
36,Beijing Royal Fighters,Nanjing Monkey Kings
36,Guangzhou Loong Lions,Qingdao Eagles
36,Zhejiang Guangsha Lions,Tianjin Pioneers
36,Sichuan Blue Whales,Guangdong Southern Tigers
36,Shanghai Sharks,Shanxi Loongs
37,Zhejiang Guangsha Lions,Shanxi Loongs
37,Beijing Royal Fighters,Shandong Hi-Speed Kirin
37,Shenzhen Leopards,Qingdao Eagles
37,Sichuan Blue Whales,Guangzhou Loong Lions
37,Xinjiang Flying Tigers,Fujian Sturgeons
37,Guangdong Southern Tigers,Nanjing Monkey Kings
37,Shanghai Sharks,Jilin Northeast Tigers
37,Liaoning Flying Leopards,Tianjin Pioneers
37,Ningbo Rockets,Zhejiang Golden Bulls
37,Beijing Ducks,Jiangsu Dragons
38,Jilin Northeast Tigers,Ningbo Rockets
38,Liaoning Flying Leopards,Beijing Royal Fighters
38,Shandong Hi-Speed Kirin,Shenzhen Leopards
38,Sichuan Blue Whales,Beijing Ducks
38,Guangzhou Loong Lions,Guangdong Southern Tigers
38,Nanjing Monkey Kings,Shanxi Loongs
38,Tianjin Pioneers,Jiangsu Dragons
38,Zhejiang Guangsha Lions,Fujian Sturgeons
38,Xinjiang Flying Tigers,Qingdao Eagles
38,Zhejiang Golden Bulls,Shanghai Sharks
39,Jilin Northeast Tigers,Shenzhen Leopards
39,Shanxi Loongs,Shanghai Sharks
39,Fujian Sturgeons,Liaoning Flying Leopards
39,Nanjing Monkey Kings,Beijing Ducks
39,Shandong Hi-Speed Kirin,Tianjin Pioneers
39,Zhejiang Golden Bulls,Guangzhou Loong Lions
39,Xinjiang Flying Tigers,Ningbo Rockets
39,Guangdong Southern Tigers,Sichuan Blue Whales
39,Beijing Royal Fighters,Qingdao Eagles
39,Jiangsu Dragons,Zhejiang Guangsha Lions
40,Jilin Northeast Tigers,Sichuan Blue Whales
40,Beijing Ducks,Guangzhou Loong Lions
40,Zhejiang Golden Bulls,Liaoning Flying Leopards
40,Beijing Royal Fighters,Shenzhen Leopards
40,Guangdong Southern Tigers,Zhejiang Guangsha Lions
40,Nanjing Monkey Kings,Jiangsu Dragons
40,Xinjiang Flying Tigers,Shanxi Loongs
40,Shandong Hi-Speed Kirin,Ningbo Rockets
40,Qingdao Eagles,Fujian Sturgeons
40,Tianjin Pioneers,Shanghai Sharks
41,Guangdong Southern Tigers,Jiangsu Dragons
41,Jilin Northeast Tigers,Shanghai Sharks
41,Beijing Royal Fighters,Guangzhou Loong Lions
41,Qingdao Eagles,Tianjin Pioneers
41,Shandong Hi-Speed Kirin,Fujian Sturgeons
41,Sichuan Blue Whales,Shanxi Loongs
41,Nanjing Monkey Kings,Ningbo Rockets
41,Shenzhen Leopards,Zhejiang Guangsha Lions
41,Xinjiang Flying Tigers,Liaoning Flying Leopards
41,Beijing Ducks,Zhejiang Golden Bulls
42,Jilin Northeast Tigers,Zhejiang Guangsha Lions
42,Beijing Ducks,Fujian Sturgeons
42,Liaoning Flying Leopards,Jiangsu Dragons
42,Qingdao Eagles,Guangzhou Loong Lions
42,Sichuan Blue Whales,Shanxi Loongs
42,Guangdong Southern Tigers,Shanghai Sharks
42,Xinjiang Flying Tigers,Zhejiang Golden Bulls
42,Beijing Royal Fighters,Ningbo Rockets
42,Shandong Hi-Speed Kirin,Tianjin Pioneers
42,Shenzhen Leopards,Nanjing Monkey Kings
